REG;                             ®               
QUOT;                            "               
Vbar;                            ⫫               
hercon;                          ⊹               
sol;                             /               
NotEqual;                        ≠               
zhcy;                            ж               
equest;                          ≟               
lrhar;                           ⇋               
NotLessGreater;                  ≸               
lEg;                             ⪋               
supsetneqq;                      ⫌               
NotLeftTriangle;                 ⋪               
oelig;                           œ               
boxuL;                           ╛               
cuwed;                           ⋏               
napE;                            ⩰̸              
Wopf;                            𝕎               
blacktriangledown;               ▾               
DownArrowBar;                    ⤓               
lscr;                            𝓁               
LessSlantEqual;                  ⩽               
duhar;                           ⥯               
Or;                              ⩔               
scnE;                            ⪶               
sqsupseteq;                      ⊒               
LessFullEqual;                   ≦               
boxVL;                           ╣               
easter;                          ⩮               
khcy;                            х               
Scaron;                          Š               
Aring;                           Å               
ape;                             ≊               
iquest;                          ¿               
Sup;                             ⋑               
Odblac;                          Ő               
drbkarow;                        ⤐               
lhard;                           ↽               
RightDoubleBracket;              ⟧               
CircleDot;                       ⊙               
backcong;                        ≌               
Ograve;                          Ò               
nwarrow;                         ↖               
zeetrf;                          ℨ               
plussim;                         ⨦               
ii;                              ⅈ               
upsilon;                         υ               
subset;                          ⊂               
egrave                           è               
dtrif;                           ▾               
EmptySmallSquare;                ◻               
nfr;                             𝔫               
kcy;                             к               
bigstar;                         ★               
Atilde                           Ã               
clubsuit;                        ♣               
wr;                              ≀               
angrt;                           ∟               
boxH;                            ═               
nLeftrightarrow;                 ⇎               
ratail;                          ⤚               
DoubleContourIntegral;           ∯               
nsupseteqq;                      ⫆̸              
ldquo;                           “               
nlt;                             ≮               
rarrfs;                          ⤞               
angmsdah;                        ⦯               
Ucy;                             У               
spades;                          ♠               
lnE;                             ≨               
Nu;                              Ν               
capbrcup;                        ⩉               
Colon;                           ∷               
nvdash;                          ⊬               
smallsetminus;                   ∖               
ShortLeftArrow;                  ←               
boxh;                            ─               
nprcue;                          ⋠               
DiacriticalGrave;                `               
CloseCurlyQuote;                 ’               
af;                              ⁡               
theta;                           θ               
nLl;                             ⋘̸              
rsquor;                          ’               
bscr;                            𝒷               
NotLessEqual;                    ≰               
chi;                             χ               
supseteqq;                       ⫆               
boxdL;                           ╕               
DownBreve;                       ̑               
iiota;                           ℩               
hyphen;                          ‐               
simg;                            ⪞               
AMP                              &               
NotLessLess;                     ≪̸              
nopf;                            𝕟               
lvertneqq;                       ≨︀              
nGg;                             ⋙̸              
Yopf;                            𝕐               
rpar;                            )               
angmsdag;                        ⦮               
dHar;                            ⥥               
tbrk;                            ⎴               
NotSquareSuperset;               ⊐̸              
bsime;                           ⋍               
edot;                            ė               
ograve;                          ò               
LeftVector;                      ↼               
rho;                             ρ               
ltrie;                           ⊴               
Aogon;                           Ą               
napos;                           ŉ               
Iuml;                            Ï               
Yacute                           Ý               
ominus;                          ⊖               
Vcy;                             В               
percnt;                          %               
utrif;                           ▴               
scnap;                           ⪺               
succ;                            ≻               
ropar;                           ⦆               
because;                         ∵               
ascr;                            𝒶               
notnivb;                         ⋾               
rdquor;                          ”               
iacute                           í               
NotNestedGreaterGreater;         ⪢̸              
nearhk;                          ⤤               
Dagger;                          ‡               
Hstrok;                          Ħ               
eacute;                          é               
sscr;                            𝓈               
LeftUpVectorBar;                 ⥘               
notin;                           ∉               
Theta;                           Θ               
awconint;                        ∳               
dstrok;                          đ               
SquareSubset;                    ⊏               
frac13;                          ⅓               
CloseCurlyDoubleQuote;           ”               
IEcy;                            Е               
Dstrok;                          Đ               
AMP;                             &               
nesim;                           ≂̸              
natur;                           ♮               
die;                             ¨               
le;                              ≤               
Sum;                             ∑               
yen                              ¥               
times;                           ×               
Auml                             Ä               
Gbreve;                          Ğ               
ubrcy;                           ў               
lmoust;                          ⎰               
mapstoleft;                      ↤               
nlarr;                           ↚               
deg                              °               
Euml                             Ë               
conint;                          ∮               
Leftarrow;                       ⇐               
wp;                              ℘               
nsc;                             ⊁               
LT;                              <               
notinva;                         ∉               
nsubseteq;                       ⊈               
Ofr;                             𝔒               
SquareIntersection;              ⊓               
Otilde;                          Õ               
ncaron;                          ň               
nharr;                           ↮               
RightFloor;                      ⌋               
Bopf;                            𝔹               
nsupset;                         ⊃⃒              
Gcy;                             Г               
ouml;                            ö               
vcy;                             в               
gtlPar;                          ⦕               
thetav;                          ϑ               
isins;                           ⋴               
szlig                            ß               
sfrown;                          ⌢               
lnapprox;                        ⪉               
ap;                              ≈               
udhar;                           ⥮               
nsubseteqq;                      ⫅̸              
lmoustache;                      ⎰               
circlearrowleft;                 ↺               
plankv;                          ℏ               
ordm                             º               
vartheta;                        ϑ               
SucceedsTilde;                   ≿               
roarr;                           ⇾               
subsup;                          ⫓               
epsiv;                           ϵ               
Mellintrf;                       ℳ               
supset;                          ⊃               
lsquo;                           ‘               
rlarr;                           ⇄               
triangle;                        ▵               
smid;                            ∣               
amp                              &               
curren;                          ¤               
erarr;                           ⥱               
frac12;                          ½               
middot                           ·               
odash;                           ⊝               
cularr;                          ↶               
langd;                           ⦑               
leftthreetimes;                  ⋋               
supsub;                          ⫔               
leqq;                            ≦               
xoplus;                          ⨁               
Ccedil                           Ç               
apacir;                          ⩯               
uarr;                            ↑               
rlhar;                           ⇌               
smte;                            ⪬               
fnof;                            ƒ               
DownTee;                         ⊤               
mho;                             ℧               
subsim;                          ⫇               
ofr;                             𝔬               
ShortUpArrow;                    ↑               
dzigrarr;                        ⟿               
cirscir;                         ⧂               
lneqq;                           ≨               
planckh;                         ℎ               
hardcy;                          ъ               
yuml;                            ÿ               
lne;                             ⪇               
npr;                             ⊀               
equals;                          =               
succsim;                         ≿               
phiv;                            ϕ               
lat;                             ⪫               
sbquo;                           ‚               
UpTeeArrow;                      ↥               
Eogon;                           Ę               
NotCupCap;                       ≭               
submult;                         ⫁               
female;                          ♀               
oslash;                          ø               
ltri;                            ◃               
nwarr;                           ↖               
DownRightVectorBar;              ⥗               
nvlt;                            <⃒              
wedge;                           ∧               
auml                             ä               
Barwed;                          ⌆               
laquo;                           «               
dd;                              ⅆ               
dcaron;                          ď               
micro                            µ               
comma;                           ,               
Del;                             ∇               
jfr;                             𝔧               
range;                           ⦥               
vnsup;                           ⊃⃒              
neArr;                           ⇗               
DoubleLeftTee;                   ⫤               
DoubleLongLeftArrow;             ⟸               
looparrowleft;                   ↫               
LeftTeeVector;                   ⥚               
bbrktbrk;                        ⎶               
Gopf;                            𝔾               
plusb;                           ⊞               
sqcap;                           ⊓               
gesdotol;                        ⪄               
simlE;                           ⪟               
fltns;                           ▱               
lArr;                            ⇐               
Fouriertrf;                      ℱ               
Efr;                             𝔈               
DiacriticalTilde;                ˜               
npreceq;                         ⪯̸              
iquest                           ¿               
vdash;                           ⊢               
setmn;                           ∖               
boxhU;                           ╨               
micro;                           µ               
gcy;                             г               
Yuml;                            Ÿ               
profalar;                        ⌮               
cfr;                             𝔠               
mcomma;                          ⨩               
cuvee;                           ⋎               
oint;                            ∮               
subseteqq;                       ⫅               
ntgl;                            ≹               
ge;                              ≥               
tshcy;                           ћ               
cacute;                          ć               
setminus;                        ∖               
veeeq;                           ≚               
equiv;                           ≡               
KJcy;                            Ќ               
rbrack;                          ]               
HorizontalLine;                  ─               
RightTeeVector;                  ⥛               
mp;                              ∓               
mDDot;                           ∺               
gnapprox;                        ⪊               
divide                           ÷               
ccaps;                           ⩍               
NotSquareSupersetEqual;          ⋣               
rect;                            ▭               
nspar;                           ∦               
Eacute;                          É               
LeftAngleBracket;                ⟨               
amacr;                           ā               
bemptyv;                         ⦰               
lneq;                            ⪇               
ogt;                             ⧁               
ETH                              Ð               
check;                           ✓               
Pr;                              ⪻               
Ntilde;                          Ñ               
downarrow;                       ↓               
SOFTcy;                          Ь               
curren                           ¤               
ntilde;                          ñ               
Tcedil;                          Ţ               
gimel;                           ℷ               
ImaginaryI;                      ⅈ               
rbrkslu;                         ⦐               
iinfin;                          ⧜               
lrcorner;                        ⌟               
squarf;                          ▪               
Auml;                            Ä               
epsilon;                         ε               
COPY;                            ©               
triminus;                        ⨺               
barvee;                          ⊽               
nexist;                          ∄               
ucy;                             у               
fpartint;                        ⨍               
RightArrowBar;                   ⇥               
Rfr;                             ℜ               
rdldhar;                         ⥩               
NotSucceeds;                     ⊁               
trianglerighteq;                 ⊵               
Acirc;                           Â               
olarr;                           ↺               
Ccaron;                          Č               
pre;                             ⪯               
Nscr;                            𝒩               
boxUR;                           ╚               
nleqslant;                       ⩽̸              
HilbertSpace;                    ℋ               
nvltrie;                         ⊴⃒              
shy                              ­               
angsph;                          ∢               
umacr;                           ū               
NotDoubleVerticalBar;            ∦               
wreath;                          ≀               
hstrok;                          ħ               
boxDr;                           ╓               
ctdot;                           ⋯               
nvgt;                            >⃒              
Fopf;                            𝔽               
xrarr;                           ⟶               
iiiint;                          ⨌               
cedil;                           ¸               
midcir;                          ⫰               
cap;                             ∩               
or;                              ∨               
Therefore;                       ∴               
ecaron;                          ě               
oline;                           ‾               
therefore;                       ∴               
aacute;                          á               
Wedge;                           ⋀               
cirfnint;                        ⨐               
dscr;                            𝒹               
approxeq;                        ≊               
gacute;                          ǵ               
isindot;                         ⋵               
Ascr;                            𝒜               
lesseqgtr;                       ⋚               
ulcorn;                          ⌜               
Scy;                             С               
eth;                             ð               
Gamma;                           Γ               
realpart;                        ℜ               
strns;                           ¯               
Uogon;                           Ų               
RBarr;                           ⤐               
isinsv;                          ⋳               
ee;                              ⅇ               
seswar;                          ⤩               
gesles;                          ⪔               
iexcl                            ¡               
vsubne;                          ⊊︀              
MediumSpace;                                     
And;                             ⩓               
gscr;                            ℊ               
int;                             ∫               
and;                             ∧               
cong;                            ≅               
LeftTeeArrow;                    ↤               
Epsilon;                         Ε               
DoubleUpDownArrow;               ⇕               
cupcap;                          ⩆               
lurdshar;                        ⥊               
bepsi;                           ϶               
Agrave                           À               
loarr;                           ⇽               
igrave;                          ì               
angmsdad;                        ⦫               
weierp;                          ℘               
smeparsl;                        ⧤               
gtcc;                            ⪧               
nparsl;                          ⫽⃥              
bigtriangledown;                 ▽               
ocy;                             о               
scpolint;                        ⨓               
Nacute;                          Ń               
InvisibleTimes;                  ⁢               
ncongdot;                        ⩭̸              
nvHarr;                          ⤄               
TildeEqual;                      ≃               
vnsub;                           ⊂⃒              
lagran;                          ℒ               
Abreve;                          Ă               
CapitalDifferentialD;            ⅅ               
dollar;                          $               
Barv;                            ⫧               
plustwo;                         ⨧               
leftrightarrows;                 ⇆               
gjcy;                            ѓ               
eDot;                            ≑               
leftarrowtail;                   ↢               
lBarr;                           ⤎               
uopf;                            𝕦               
laemptyv;                        ⦴               
lsim;                            ≲               
GreaterEqualLess;                ⋛               
lessdot;                         ⋖               
LeftTee;                         ⊣               
Rcaron;                          Ř               
scE;                             ⪴               
popf;                            𝕡               
curlyeqsucc;                     ⋟               
rightthreetimes;                 ⋌               
vopf;                            𝕧               
robrk;                           ⟧               
NotCongruent;                    ≢               
Acy;                             А               
Nfr;                             𝔑               
Precedes;                        ≺               
scap;                            ⪸               
olt;                             ⧀               
LowerRightArrow;                 ↘               
hookleftarrow;                   ↩               
supsim;                          ⫈               
nless;                           ≮               
rdca;                            ⤷               
sqsubset;                        ⊏               
Oopf;                            𝕆               
shchcy;                          щ               
boxdl;                           ┐               
cirE;                            ⧃               
lsquor;                          ‚               
DoubleUpArrow;                   ⇑               
ensp;                                            
nsccue;                          ⋡               
ccupssm;                         ⩐               
latail;                          ⤙               
swarhk;                          ⤦               
zfr;                             𝔷               
boxhd;                           ┬               
curarrm;                         ⤼               
nbsp;                                            
udblac;                          ű               
gtreqqless;                      ⪌               
eqcirc;                          ≖               
TRADE;                           ™               
NotTildeFullEqual;               ≇               
circledast;                      ⊛               
Diamond;                         ⋄               
grave;                           `               
square;                          □               
iopf;                            𝕚               
cemptyv;                         ⦲               
lt                               <               
pointint;                        ⨕               
Ccirc;                           Ĉ               
bsim;                            ∽               
complexes;                       ℂ               
rbrksld;                         ⦎               
NotRightTriangleBar;             ⧐̸              
Jukcy;                           Є               
lpar;                            (               
racute;                          ŕ               
nsqsupe;                         ⋣               
otilde                           õ               
HARDcy;                          Ъ               
NotSucceedsTilde;                ≿̸              
frac58;                          ⅝               
hcirc;                           ĥ               
bigcap;                          ⋂               
eopf;                            𝕖               
subseteq;                        ⊆               
NotGreaterFullEqual;             ≧̸              
ldrdhar;                         ⥧               
Bcy;                             Б               
twoheadleftarrow;                ↞               
Omacr;                           Ō               
notni;                           ∌               
frac56;                          ⅚               
uacute;                          ú               
propto;                          ∝               
xnis;                            ⋻               
RightTriangleEqual;              ⊵               
Jfr;                             𝔍               
DownLeftTeeVector;               ⥞               
nrtri;                           ⋫               
Icy;                             И               
bkarow;                          ⤍               
Sfr;                             𝔖               
boxV;                            ║               
gopf;                            𝕘               
Igrave;                          Ì               
capcup;                          ⩇               
nvrtrie;                         ⊵⃒              
Igrave                           Ì               
yopf;                            𝕪               
NotEqualTilde;                   ≂̸              
boxHu;                           ╧               
rceil;                           ⌉               
supE;                            ⫆               
ltrPar;                          ⦖               
Jopf;                            𝕁               
xsqcup;                          ⨆               
squ;                             □               
prap;                            ⪷               
njcy;                            њ               
Ubreve;                          Ŭ               
curarr;                          ↷               
preceq;                          ⪯               
orderof;                         ℴ               
nsucceq;                         ⪰̸              
NewLine;                         
               
duarr;                           ⇵               
sup2;                            ²               
oast;                            ⊛               
rrarr;                           ⇉               
varsigma;                        ς               
yen;                             ¥               
swnwar;                          ⤪               
beta;                            β               
TildeTilde;                      ≈               
RightArrowLeftArrow;             ⇄               
subE;                            ⫅               
ecy;                             э               
Ccedil;                          Ç               
Agrave;                          À               
NotVerticalBar;                  ∤               
chcy;                            ч               
laquo                            «               
imacr;                           ī               
Upsilon;                         Υ               
aacute                           á               
longleftrightarrow;              ⟷               
NestedGreaterGreater;            ≫               
subrarr;                         ⥹               
reg;                             ®               
eDDot;                           ⩷               
intcal;                          ⊺               
TScy;                            Ц               
geqslant;                        ⩾               
Lcedil;                          Ļ               
iiint;                           ∭               
Breve;                           ˘               
NotLessSlantEqual;               ⩽̸              
ast;                             *               
iacute;                          í               
epar;                            ⋕               
harrcir;                         ⥈               
xcap;                            ⋂               
gl;                              ≷               
nvlArr;                          ⤂               
Coproduct;                       ∐               
VDash;                           ⊫               
copy;                            ©               
DiacriticalDot;                  ˙               
sup3;                            ³               
sccue;                           ≽               
Esim;                            ⩳               
blk12;                           ▒               
prsim;                           ≾               
LeftDownTeeVector;               ⥡               
succnsim;                        ⋩               
nltri;                           ⋪               
lcaron;                          ľ               
RightVectorBar;                  ⥓               
boxuR;                           ╘               
boxvh;                           ┼               
Sub;                             ⋐               
tcedil;                          ţ               
iogon;                           į               
ltrif;                           ◂               
xmap;                            ⟼               
Hacek;                           ˇ               
topf;                            𝕥               
Lopf;                            𝕃               
LeftUpTeeVector;                 ⥠               
aelig;                           æ               
Bernoullis;                      ℬ               
straightepsilon;                 ϵ               
Ucirc;                           Û               
DJcy;                            Ђ               
zscr;                            𝓏               
crarr;                           ↵               
RightDownVectorBar;              ⥕               
napid;                           ≋̸              
mopf;                            𝕞               
CHcy;                            Ч               
iota;                            ι               
gtrapprox;                       ⪆               
ofcir;                           ⦿               
capcap;                          ⩋               
LessGreater;                     ≶               
squf;                            ▪               
quatint;                         ⨖               
natural;                         ♮               
Cap;                             ⋒               
apos;                            '               
LongLeftRightArrow;              ⟷               
odblac;                          ő               
subedot;                         ⫃               
searhk;                          ⤥               
Lsh;                             ↰               
Star;                            ⋆               
prnE;                            ⪵               
HumpDownHump;                    ≎               
lozenge;                         ◊               
ffr;                             𝔣               
Iogon;                           Į               
ntrianglelefteq;                 ⋬               
opar;                            ⦷               
boxVl;                           ╢               
Pfr;                             𝔓               
NotLess;                         ≮               
DZcy;                            Џ               
euml;                            ë               
Psi;                             Ψ               
Vscr;                            𝒱               
nsime;                           ≄               
cudarrr;                         ⤵               
Upsi;                            ϒ               
NestedLessLess;                  ≪               
Dashv;                           ⫤               
Rho;                             Ρ               
sigmaf;                          ς               
para                             ¶               
LT                               <               
supsetneq;                       ⊋               
tscr;                            𝓉               
boxvH;                           ╪               
lacute;                          ĺ               
Im;                              ℑ               
vsupnE;                          ⫌︀              
nldr;                            ‥               
nesear;                          ⤨               
olcross;                         ⦻               
copy                             ©               
eparsl;                          ⧣               
Ycy;                             Ы               
xcup;                            ⋃               
fcy;                             ф               
radic;                           √               
swArr;                           ⇙               
swarr;                           ↙               
sacute;                          ś               
Gammad;                          Ϝ               
Iota;                            Ι               
roang;                           ⟭               
boxul;                           ┘               
primes;                          ℙ               
beth;                            ℶ               
minusdu;                         ⨪               
Rscr;                            ℛ               
ApplyFunction;                   ⁡               
DoubleRightTee;                  ⊨               
barwed;                          ⌅               
lcy;                             л               
SquareSuperset;                  ⊐               
isinv;                           ∈               
sdote;                           ⩦               
lstrok;                          ł               
frac12                           ½               
jsercy;                          ј               
aopf;                            𝕒               
szlig;                           ß               
gEl;                             ⪌               
djcy;                            ђ               
intercal;                        ⊺               
prop;                            ∝               
Integral;                        ∫               
NJcy;                            Њ               
minusd;                          ∸               
div;                             ÷               
boxDL;                           ╗               
ohm;                             Ω               
prurel;                          ⊰               
profsurf;                        ⌓               
pfr;                             𝔭               
llhard;                          ⥫               
Sscr;                            𝒮               
Ocirc                            Ô               
dagger;                          †               
nrarrc;                          ⤳̸              
copysr;                          ℗               
LeftDoubleBracket;               ⟦               
trianglelefteq;                  ⊴               
ltlarr;                          ⥶               
Pscr;                            𝒫               
iff;                             ⇔               
Laplacetrf;                      ℒ               
inodot;                          ı               
Tstrok;                          Ŧ               
downharpoonleft;                 ⇃               
daleth;                          ℸ               
lparlt;                          ⦓               
heartsuit;                       ♥               
Equal;                           ⩵               
ssmile;                          ⌣               
YIcy;                            Ї               
nvle;                            ≤⃒              
NotSucceedsSlantEqual;           ⋡               
RightAngleBracket;               ⟩               
Tfr;                             𝔗               
ordm;                            º               
TripleDot;                       ⃛               
nLeftarrow;                      ⇍               
pi;                              π               
hArr;                            ⇔               
lrtri;                           ⊿               
para;                            ¶               
Hopf;                            ℍ               
uharl;                           ↿               
bull;                            •               
otilde;                          õ               
ldca;                            ⤶               
nsubset;                         ⊂⃒              
bbrk;                            ⎵               
rfloor;                          ⌋               
Kcedil;                          Ķ               
NotLessTilde;                    ≴               
OverBar;                         ‾               
LeftVectorBar;                   ⥒               
quot;                            "               
oacute                           ó               
Ycirc;                           Ŷ               
gtreqless;                       ⋛               
uharr;                           ↾               
nleftrightarrow;                 ↮               
ReverseEquilibrium;              ⇋               
nsub;                            ⊄               
drcorn;                          ⌟               
iecy;                            е               
oS;                              Ⓢ               
nshortparallel;                  ∦               
boxhu;                           ┴               
LeftRightVector;                 ⥎               
tdot;                            ⃛               
apid;                            ≋               
pluscir;                         ⨢               
varsubsetneq;                    ⊊︀              
eng;                             ŋ               
angst;                           Å               
ll;                              ≪               
YUcy;                            Ю               
ntrianglerighteq;                ⋭               
mfr;                             𝔪               
lescc;                           ⪨               
Ocy;                             О               
eg;                              ⪚               
plusdu;                          ⨥               
DownArrowUpArrow;                ⇵               
FilledSmallSquare;               ◼               
SmallCircle;                     ∘               
nprec;                           ⊀               
roplus;                          ⨮               
quot                             "               
nis;                             ⋼               
lrm;                             ‎               
csupe;                           ⫒               
dot;                             ˙               
Otilde                           Õ               
rsqb;                            ]               
uogon;                           ų               
tau;                             τ               
RightUpTeeVector;                ⥜               
nparallel;                       ∦               
Oslash;                          Ø               
between;                         ≬               
cent;                            ¢               
tosa;                            ⤩               
Phi;                             Φ               
curlyvee;                        ⋎               
bcy;                             б               
nvap;                            ≍⃒              
boxHd;                           ╤               
Tau;                             Τ               
odsold;                          ⦼               
rAarr;                           ⇛               
not;                             ¬               
cudarrl;                         ⤸               
UpEquilibrium;                   ⥮               
olcir;                           ⦾               
ulcrop;                          ⌏               
mdash;                           —               
Racute;                          Ŕ               
Element;                         ∈               
hairsp;                                          
thorn                            þ               
nbump;                           ≎̸              
nltrie;                          ⋬               
Vfr;                             𝔙               
nvsim;                           ∼⃒              
coloneq;                         ≔               
Ouml                             Ö               
Otimes;                          ⨷               
tritime;                         ⨻               
numero;                          №               
Eopf;                            𝔼               
Scedil;                          Ş               
lhblk;                           ▄               
supdot;                          ⪾               
mapstoup;                        ↥               
hfr;                             𝔥               
urcorn;                          ⌝               
Dcaron;                          Ď               
mlcp;                            ⫛               
iexcl;                           ¡               
UnderBar;                        _               
suphsol;                         ⟉               
eth                              ð               
bumpE;                           ⪮               
LJcy;                            Љ               
VerticalBar;                     ∣               
epsi;                            ε               
lltri;                           ◺               
RightTriangle;                   ⊳               
planck;                          ℏ               
congdot;                         ⩭               
boxHU;                           ╩               
zopf;                            𝕫               
frac45;                          ⅘               
Lang;                            ⟪               
VerticalTilde;                   ≀               
Jcirc;                           Ĵ               
top;                             ⊤               
piv;                             ϖ               
rationals;                       ℚ               
Xi;                              Ξ               
eqslantless;                     ⪕               
Square;                          □               
MinusPlus;                       ∓               
gnsim;                           ⋧               
bowtie;                          ⋈               
orslope;                         ⩗               
rang;                            ⟩               
agrave                           à               
hbar;                            ℏ               
DifferentialD;                   ⅆ               
lt;                              <               
LessLess;                        ⪡               
Superset;                        ⊃               
jopf;                            𝕛               
sdotb;                           ⊡               
ddarr;                           ⇊               
real;                            ℜ               
CircleMinus;                     ⊖               
varsubsetneqq;                   ⫋︀              
varpi;                           ϖ               
Copf;                            ℂ               
demptyv;                         ⦱               
DoubleLeftArrow;                 ⇐               
mumap;                           ⊸               
bprime;                          ‵               
Ecy;                             Э               
angmsdaa;                        ⦨               
agrave;                          à               
Zcy;                             З               
Tilde;                           ∼               
thickapprox;                     ≈               
tridot;                          ◬               
PartialD;                        ∂               
varr;                            ↕               
NotPrecedesSlantEqual;           ⋠               
AElig;                           Æ               
NotRightTriangleEqual;           ⋭               
larrsim;                         ⥳               
Zcaron;                          Ž               
NotGreater;                      ≯               
succnapprox;                     ⪺               
capand;                          ⩄               
siml;                            ⪝               
colon;                           :               
Uscr;                            𝒰               
Bscr;                            ℬ               
rcaron;                          ř               
there4;                          ∴               
ncap;                            ⩃               
dbkarow;                         ⤏               
bnot;                            ⌐               
Lacute;                          Ĺ               
rangle;                          ⟩               
gbreve;                          ğ               
bsemi;                           ⁏               
zigrarr;                         ⇝               
gtrsim;                          ≳               
iscr;                            𝒾               
bigsqcup;                        ⨆               
ThinSpace;                                       
pluse;                           ⩲               
lowbar;                          _               
Escr;                            ℰ               
plusdo;                          ∔               
auml;                            ä               
oacute;                          ó               
gneq;                            ⪈               
Icirc                            Î               
boxVh;                           ╫               
OElig;                           Œ               
middot;                          ·               
COPY                             ©               
timesd;                          ⨰               
lceil;                           ⌈               
hellip;                          …               
verbar;                          |               
Alpha;                           Α               
boxUL;                           ╝               
LeftDownVectorBar;               ⥙               
lHar;                            ⥢               
GT;                              >               
nsim;                            ≁               
rhard;                           ⇁               
Hcirc;                           Ĥ               
looparrowright;                  ↬               
DownRightTeeVector;              ⥟               
Verbar;                          ‖               
Hscr;                            ℋ               
forall;                          ∀               
diamondsuit;                     ♦               
Dscr;                            𝒟               
oopf;                            𝕠               
xcirc;                           ◯               
GreaterTilde;                    ≳               
rppolint;                        ⨒               
telrec;                          ⌕               
nshortmid;                       ∤               
qint;                            ⨌               
OpenCurlyQuote;                  ‘               
cwconint;                        ∲               
timesb;                          ⊠               
Hfr;                             ℌ               
uml                              ¨               
delta;                           δ               
kfr;                             𝔨               
map;                             ↦               
escr;                            ℯ               
rarrsim;                         ⥴               
solb;                            ⧄               
vellip;                          ⋮               
qfr;                             𝔮               
macr;                            ¯               
DownTeeArrow;                    ↧               
ordf;                            ª               
sharp;                           ♯               
cups;                            ∪︀              
sime;                            ≃               
andv;                            ⩚               
uArr;                            ⇑               
filig;                           ﬁ               
frac14                           ¼               
dotplus;                         ∔               
realine;                         ℛ               
Downarrow;                       ⇓               
rtimes;                          ⋊               
sect                             §               
dscy;                            ѕ               
Amacr;                           Ā               
lesdoto;                         ⪁               
Lambda;                          Λ               
Edot;                            Ė               
QUOT                             "               
bottom;                          ⊥               
Omicron;                         Ο               
nabla;                           ∇               
TSHcy;                           Ћ               
dzcy;                            џ               
gtdot;                           ⋗               
ltcc;                            ⪦               
subplus;                         ⪿               
rBarr;                           ⤏               
bumpe;                           ≏               
marker;                          ▮               
not                              ¬               
larrhk;                          ↩               
xscr;                            𝓍               
DDotrahd;                        ⤑               
precapprox;                      ⪷               
qscr;                            𝓆               
aring                            å               
ZeroWidthSpace;                  ​               
egs;                             ⪖               
rightarrow;                      →               
nsupE;                           ⫆̸              
checkmark;                       ✓               
hearts;                          ♥               
ReverseUpEquilibrium;            ⥯               
Umacr;                           Ū               
prnap;                           ⪹               
NonBreakingSpace;                                
lowast;                          ∗               
Cfr;                             ℭ               
rcub;                            }               
cupor;                           ⩅               
tstrok;                          ŧ               
upharpoonleft;                   ↿               
nrarrw;                          ↝̸              
LeftDownVector;                  ⇃               
kappav;                          ϰ               
lates;                           ⪭︀              
blacklozenge;                    ⧫               
Popf;                            ℙ               
cscr;                            𝒸               
les;                             ⩽               
nleq;                            ≰               
ngeq;                            ≱               
Euml;                            Ë               
Yfr;                             𝔜               
nearr;                           ↗               
kappa;                           κ               
ugrave                           ù               
trade;                           ™               
ssetmn;                          ∖               
Udblac;                          Ű               
NotPrecedes;                     ⊀               
Beta;                            Β               
Yacute;                          Ý               
Itilde;                          Ĩ               
rtrif;                           ▸               
frac25;                          ⅖               
gtrless;                         ≷               
xopf;                            𝕩               
lessapprox;                      ⪅               
Uring;                           Ů               
leftarrow;                       ←               
DownRightVector;                 ⇁               
eogon;                           ę               
ReverseElement;                  ∋               
solbar;                          ⌿               
reals;                           ℝ               
SHCHcy;                          Щ               
icy;                             и               
Map;                             ⤅               
rlm;                             ‏               
angmsdae;                        ⦬               
Jsercy;                          Ј               
jmath;                           ȷ               
NotGreaterLess;                  ≹               
lesdot;                          ⩿               
macr                             ¯               
oror;                            ⩖               
Poincareplane;                   ℌ               
tfr;                             𝔱               
utdot;                           ⋰               
xfr;                             𝔵               
fopf;                            𝕗               
udarr;                           ⇅               
Cacute;                          Ć               
dtri;                            ▿               
uscr;                            𝓊               
rhov;                            ϱ               
ShortRightArrow;                 →               
subdot;                          ⪽               
ntlg;                            ≸               
Conint;                          ∯               
npre;                            ⪯̸              
triangledown;                    ▿               
curvearrowright;                 ↷               
GreaterLess;                     ≷               
vBarv;                           ⫩               
ClockwiseContourIntegral;        ∲               
gsim;                            ≳               
ordf                             ª               
RightTee;                        ⊢               
plusacir;                        ⨣               
isinE;                           ⋹               
Jscr;                            𝒥               
nVdash;                          ⊮               
risingdotseq;                    ≓               
boxdR;                           ╒               
ropf;                            𝕣               
InvisibleComma;                  ⁣               
origof;                          ⊶               
Gfr;                             𝔊               
dlcorn;                          ⌞               
ruluhar;                         ⥨               
circledS;                        Ⓢ               
SquareSubsetEqual;               ⊑               
nhArr;                           ⇎               
Oslash                           Ø               
DownLeftRightVector;             ⥐               
profline;                        ⌒               
yacute                           ý               
AElig                            Æ               
gesdoto;                         ⪂               
uring;                           ů               
omid;                            ⦶               
Rsh;                             ↱               
sext;                            ✶               
urcrop;                          ⌎               
Rcedil;                          Ŗ               
Zdot;                            Ż               
ltimes;                          ⋉               
ocirc;                           ô               
GreaterEqual;                    ≥               
copf;                            𝕔               
nLt;                             ≪⃒              
mldr;                            …               
nsube;                           ⊈               
fscr;                            𝒻               
order;                           ℴ               
NotPrecedesEqual;                ⪯̸              
esdot;                           ≐               
acute                            ´               
UpperLeftArrow;                  ↖               
CircleTimes;                     ⊗               
emsp;                                            
ccirc;                           ĉ               
ffllig;                          ﬄ               
DiacriticalAcute;                ´               
target;                          ⌖               
